id,dimension,question_text,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22,round_23,round_24,round_25,round_26,round_27,round_28,round_29,round_30,round_31,round_32,round_33,round_34,round_35,round_36,round_37,round_38,round_39,round_40,round_41,round_42,round_43,round_44,round_45,round_46,round_47,round_48,round_49,round_50,yes_probability,variance,model_source,prompt_language
R_01,N/A,"Would you spend 10 RMB for a 1% chance to win 1,000 RMB, and a 99% chance to win nothing?",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,ChatGPT-4o,English
R_01,N/A,"Would you spend 10 RMB for a 1% chance to win 1,000 RMB, and a 99% chance to win nothing?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0384,Qwen,English
R_01,N/A,"Would you spend 10 RMB for a 1% chance to win 1,000 RMB, and a 99% chance to win nothing?",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,0.0195999999999999,DeepSeek,English
R_01,N/A,"Would you spend 10 RMB for a 1% chance to win 1,000 RMB, and a 99% chance to win nothing?",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.96,0.0384,Grok,English
R_01,N/A,"Would you spend 10 RMB for a 1% chance to win 1,000 RMB, and a 99% chance to win nothing?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Gemini,English
R_01,N/A,"Would you spend 10 RMB for a 1% chance to win 1,000 RMB, and a 99% chance to win nothing?",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.0564,Claude,English
R_01,,"Would you spend 10 RMB for a 1% chance to win 1,000 RMB, and a 99% chance to win nothing?",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,Llama,English
R_01_ARAB,N/A,"هل ستنفق 10 ريالات سعودية للحصول على فرصة 1% للفوز بـ 1,000 ريال سعودي، وفرصة 99% للفوز بلا شيء؟",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Gemini,Arabic
R_01_ARAB,N/A,"هل ستنفق 10 ريالات سعودية للحصول على فرصة 1% للفوز بـ 1,000 ريال سعودي، وفرصة 99% للفوز بلا شيء؟",1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0.82,0.1476,Grok,Arabic
R_01_ARAB,N/A,"هل ستنفق 10 ريالات سعودية للحصول على فرصة 1% للفوز بـ 1,000 ريال سعودي، وفرصة 99% للفوز بلا شيء؟",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Claude,Arabic
R_01_ARAB,N/A,"هل ستنفق 10 ريالات سعودية للحصول على فرصة 1% للفوز بـ 1,000 ريال سعودي، وفرصة 99% للفوز بلا شيء؟",0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0.36,0.23039999999999991,DeepSeek,Arabic
R_01_ARAB,N/A,"هل ستنفق 10 ريالات سعودية للحصول على فرصة 1% للفوز بـ 1,000 ريال سعودي، وفرصة 99% للفوز بلا شيء؟",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,ChatGPT-4o,Arabic
R_01_ARAB,,"هل ستنفق 10 ريالات سعودية للحصول على فرصة 1% للفوز بـ 1,000 ريال سعودي، وفرصة 99% للفوز بلا شيء؟",0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,Llama,Arabic
R_01_ARAB,N/A,"هل ستنفق 10 ريالات سعودية للحصول على فرصة 1% للفوز بـ 1,000 ريال سعودي، وفرصة 99% للفوز بلا شيء؟",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.12,0.1055999999999999,Qwen,Arabic
R_01_CHN,N/A,"你愿意花10人民币购买一张有1%几率赢得1,000人民币、99%几率一无所获的彩票吗？",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Gemini,Chinese
